entidad,municipio,municipio_nombre,seccion,section_id,distrito_local,distrito_federal
11,020,LEON,1753,110201753,5,
11,020,LEON,1754,110201754,5,
11,020,LEON,1755,110201755,3,
11,020,LEON,1756,110201756,3,
11,020,LEON,1757,110201757,3,
11,020,LEON,1758,110201758,3,
11,020,LEON,1759,110201759,5,
11,020,LEON,1760,110201760,5,
11,020,LEON,1761,110201761,5,
11,020,LEON,1762,110201762,5,
11,020,LEON,1763,110201763,5,
11,020,LEON,1764,110201764,5,
11,020,LEON,1765,110201765,5,
11,020,LEON,1766,110201766,5,
11,020,LEON,1767,110201767,5,
11,020,LEON,1768,110201768,5,
11,020,LEON,1769,110201769,5,
11,020,LEON,1770,110201770,5,
11,020,LEON,1771,110201771,5,
11,020,LEON,1772,110201772,5,
11,020,LEON,1773,110201773,5,
11,020,LEON,1774,110201774,5,
11,020,LEON,1775,110201775,5,
11,020,LEON,1776,110201776,5,
11,020,LEON,1777,110201777,5,
11,020,LEON,1778,110201778,5,
11,020,LEON,1779,110201779,5,
11,020,LEON,1780,110201780,5,
11,020,LEON,1781,110201781,5,
11,020,LEON,1782,110201782,5,
11,020,LEON,1783,110201783,5,
11,020,LEON,1784,110201784,5,
11,020,LEON,1785,110201785,5,
11,020,LEON,1786,110201786,5,
11,020,LEON,1787,110201787,5,
11,020,LEON,1788,110201788,5,
11,020,LEON,1789,110201789,5,
11,020,LEON,1790,110201790,5,
11,020,LEON,1791,110201791,5,
11,020,LEON,1792,110201792,5,
11,020,LEON,1793,110201793,5,
11,020,LEON,1794,110201794,5,
11,020,LEON,1795,110201795,5,
11,020,LEON,1796,110201796,5,
11,020,LEON,1797,110201797,5,
11,020,LEON,1798,110201798,5,
11,020,LEON,1799,110201799,5,
11,020,LEON,1800,110201800,5,
11,020,LEON,1801,110201801,5,
11,020,LEON,1802,110201802,5,
11,020,LEON,1803,110201803,5,
11,020,LEON,1804,110201804,5,
11,020,LEON,1805,110201805,5,
11,020,LEON,1806,110201806,5,
11,020,LEON,1807,110201807,5,
11,020,LEON,1808,110201808,5,
11,020,LEON,1809,110201809,5,
11,020,LEON,1810,110201810,5,
11,020,LEON,1811,110201811,5,
11,020,LEON,1812,110201812,5,
11,020,LEON,1813,110201813,5,
