entidad,municipio,seccion,section_id,pan_2018_votos,total_2018,pct_pan_2018,source_rows_2018
11,020,1506,110201506,261,715,36.5034965034965,3
11,020,1507,110201507,194,260,74.61538461538461,2
11,020,1511,110201511,366,604,60.59602649006622,2
11,020,1512,110201512,290,543,53.40699815837937,2
11,020,1513,110201513,385,688,55.9593023255814,2
11,020,1514,110201514,225,372,60.483870967741936,1
11,020,1515,110201515,321,489,65.6441717791411,1
11,020,1516,110201516,450,689,65.31204644412192,2
11,020,1517,110201517,429,698,61.46131805157593,2
11,020,1518,110201518,515,921,55.91748099891423,3
11,020,1519,110201519,452,623,72.55216693418942,2
11,020,1520,110201520,244,330,73.93939393939394,1
11,020,1521,110201521,229,368,62.22826086956522,1
11,020,1522,110201522,229,503,45.52683896620278,2
11,020,1523,110201523,213,452,47.123893805309734,1
11,020,1524,110201524,261,444,58.78378378378378,1
11,020,1525,110201525,256,504,50.79365079365079,2
11,020,1526,110201526,367,620,59.193548387096776,2
11,020,1527,110201527,283,417,67.86570743405275,1
11,020,1528,110201528,344,511,67.31898238747553,1
11,020,1529,110201529,444,694,63.976945244956774,2
11,020,1530,110201530,389,702,55.41310541310541,2
11,020,1531,110201531,365,740,49.32432432432432,2
11,020,1532,110201532,505,940,53.72340425531915,2
11,020,1533,110201533,381,699,54.506437768240346,2
11,020,1534,110201534,345,639,53.990610328638496,2
11,020,1535,110201535,208,326,63.80368098159509,2
11,020,1536,110201536,0,0,,1
11,020,1537,110201537,366,679,53.90279823269514,2
11,020,1538,110201538,0,0,,2
11,020,1539,110201539,301,594,50.67340067340067,2
11,020,1540,110201540,244,454,53.74449339207048,2
11,020,1541,110201541,184,326,56.44171779141104,1
11,020,1542,110201542,141,279,50.53763440860215,1
11,020,1543,110201543,253,525,48.19047619047619,2
11,020,1544,110201544,241,397,60.70528967254408,1
11,020,1545,110201545,315,506,62.25296442687747,2
11,020,1546,110201546,327,618,52.9126213592233,2
11,020,1547,110201547,480,856,56.074766355140184,2
11,020,1548,110201548,518,859,60.30267753201397,2
11,020,1549,110201549,204,414,49.275362318840585,1
11,020,1550,110201550,202,400,50.5,1
11,020,1551,110201551,153,318,48.113207547169814,1
11,020,1552,110201552,371,804,46.14427860696517,2
11,020,1553,110201553,329,618,53.23624595469255,2
11,020,1554,110201554,350,662,52.87009063444109,2
11,020,1555,110201555,310,603,51.40961857379768,2
11,020,1556,110201556,293,621,47.18196457326892,2
11,020,1557,110201557,324,655,49.46564885496183,2
11,020,1558,110201558,459,978,46.93251533742331,3
11,020,1559,110201559,446,829,53.79975874547648,2
11,020,1560,110201560,256,589,43.463497453310694,2
11,020,1561,110201561,840,1544,54.40414507772021,3
11,020,1562,110201562,429,854,50.23419203747073,2
11,020,1563,110201563,347,627,55.34290271132376,2
11,020,1564,110201564,448,773,57.95601552393273,2
11,020,1565,110201565,377,708,53.24858757062147,2
11,020,1566,110201566,419,913,45.89266155531216,2
11,020,1567,110201567,373,796,46.85929648241206,2
11,020,1568,110201568,259,523,49.521988527724666,2
11,020,1569,110201569,280,609,45.97701149425287,2
11,020,1570,110201570,514,800,64.25,3
11,020,1571,110201571,163,340,47.94117647058824,1
11,020,1572,110201572,208,374,55.61497326203209,1
11,020,1573,110201573,157,315,49.84126984126984,1
11,020,1574,110201574,384,648,59.25925925925925,2
11,020,1575,110201575,310,567,54.673721340388006,3
11,020,1576,110201576,308,495,62.22222222222222,1
11,020,1577,110201577,303,591,51.26903553299492,2
11,020,1578,110201578,205,395,51.89873417721519,1
11,020,1579,110201579,160,296,54.054054054054056,1
11,020,1580,110201580,181,326,55.52147239263804,1
11,020,1581,110201581,488,896,54.46428571428571,2
11,020,1582,110201582,334,616,54.22077922077923,2
